+-------+-------------+----------------------------------------------------------------+----------------+--------+---------+---------------------+---------------------+
| id    | record_type | domain_name                                                    | record         | status | version | create_time         | update_time         |
| 29401 |           0 | p-vop-bip.presto.ns.ai.vip.com                                 | 10.219.237.100 |      1 | v22     | 2018-10-23 18:27:18 | 2018-10-23 18:27:18 |
| 29402 |           0 | p-vop-bip.presto.ns.ai.vip.com                                 | 10.219.237.101 |      1 | v22     | 2018-10-23 18:27:18 | 2018-10-23 18:27:18 |
| 29403 |           0 | koubeitest.serving.ai.vip.com                                  | 10.208.75.211  |      1 | v22     | 2018-10-23 18:27:18 | 2018-10-23 18:27:18 |
| 29404 |           0 | goodsmodel.serving.ai.vip.com                                  | 10.208.75.211  |      1 | v22     | 2018-10-23 18:27:19 | 2018-10-23 18:27:19 |
| 29405 |           0 | c-finance-ebs-dev-hive-cache-3.spark.ns.ai.vip.com             | 10.219.237.100 |      1 | v22     | 2018-10-23 18:27:19 | 2018-10-23 18:27:19 |
| 29406 |           0 | c-finance-ebs-dev-hive-cache-3.spark.ns.ai.vip.com             | 10.219.237.101 |      1 | v22     | 2018-10-23 18:27:19 | 2018-10-23 18:27:19 |
| 29407 |           0 | wayne-wang-wayne-test.notebook.ns.ai.vip.com                   | 10.219.237.100 |      1 | v22     | 2018-10-23 18:27:19 | 2018-10-23 18:27:19 |
| 29408 |           0 | wayne-wang-wayne-test.notebook.ns.ai.vip.com                   | 10.219.237.101 |      1 | v22     | 2018-10-23 18:27:19 | 2018-10-23 18:27:19 |
| 29409 |           0 | c-wms-ai-adhoc.spark.ns.ai.vip.com                             | 10.219.237.100 |      1 | v22     | 2018-10-23 18:27:19 | 2018-10-23 18:27:19 |
| 29410 |           0 | c-wms-ai-adhoc.spark.ns.ai.vip.com                             | 10.219.237.101 |      1 | v22     | 2018-10-23 18:27:19 | 2018-10-23 18:27:19 |
| 29411 |           0 | c-vsus-vision-cluster-eda.spark.ai.vip.com                     | 10.208.75.211  |      1 | v22     | 2018-10-23 18:27:19 | 2018-10-23 18:27:19 |
| 29412 |           0 | nlg.serving.ai.vip.com                                         | 10.208.75.211  |      1 | v22     | 2018-10-23 18:27:19 | 2018-10-23 18:27:19 |
| 29413 |           0 | allan-hou-hl-notebook.notebook.ns.ai.vip.com                   | 10.219.237.100 |      1 | v22     | 2018-10-23 18:27:19 | 2018-10-23 18:27:19 |
| 29414 |           0 | allan-hou-hl-notebook.notebook.ns.ai.vip.com                   | 10.219.237.101 |      1 | v22     | 2018-10-23 18:27:19 | 2018-10-23 18:27:19 |
| 29415 |           0 | c-demand-forecast-dfs2.spark.ns.ai.vip.com                     | 10.219.237.100 |      1 | v22     | 2018-10-23 18:27:19 | 2018-10-23 18:27:19 |
| 29416 |           0 | c-demand-forecast-dfs2.spark.ns.ai.vip.com                     | 10.219.237.101 |      1 | v22     | 2018-10-23 18:27:19 | 2018-10-23 18:27:19 |
| 29417 |           0 | feng04-yan-engine001.notebook.ns.ai.vip.com                    | 10.219.237.100 |      1 | v22     | 2018-10-23 18:27:19 | 2018-10-23 18:27:19 |
| 29418 |           0 | feng04-yan-engine001.notebook.ns.ai.vip.com                    | 10.219.237.101 |      1 | v22     | 2018-10-23 18:27:19 | 2018-10-23 18:27:19 |
| 29419 |           0 | p-logistics-analyze-lds.presto.ns.ai.vip.com                   | 10.219.237.100 |      0 | v22     | 2018-10-23 18:27:19 | 2018-10-26 14:50:07 |
| 29420 |           0 | p-logistics-analyze-lds.presto.ns.ai.vip.com                   | 10.219.237.101 |      0 | v22     | 2018-10-23 18:27:19 | 2018-10-26 14:50:07 |
| 29421 |           0 | accessories-faiss.serving.ai.vip.com                           | 10.208.75.211  |      1 | v22     | 2018-10-23 18:27:20 | 2018-10-23 18:27:20 |
| 29422 |           0 | cosmetics-faiss.serving.ai.vip.com                             | 10.208.75.211  |      1 | v22     | 2018-10-23 18:27:20 | 2018-10-23 18:27:20 |
| 29423 |           0 | electronics-faiss.serving.ai.vip.com                           | 10.208.75.211  |      1 | v22     | 2018-10-23 18:27:20 | 2018-10-23 18:27:20 |
| 29424 |           0 | food-faiss.serving.ai.vip.com                                  | 10.208.75.211  |      1 | v22     | 2018-10-23 18:27:20 | 2018-10-23 18:27:20 |
| 29425 |           0 | drink-faiss.serving.ai.vip.com                                 | 10.208.75.211  |      1 | v22     | 2018-10-23 18:27:20 | 2018-10-23 18:27:20 |
| 29426 |           0 | underwear-faiss.serving.ai.vip.com                             | 10.208.75.211  |      1 | v22     | 2018-10-23 18:27:20 | 2018-10-23 18:27:20 |
| 29427 |           0 | furniture-faiss.serving.ai.vip.com                             | 10.208.75.211  |      1 | v22     | 2018-10-23 18:27:20 | 2018-10-23 18:27:20 |
| 29428 |           0 | m-upperbody-faiss.serving.ai.vip.com                           | 10.208.75.211  |      1 | v22     | 2018-10-23 18:27:20 | 2018-10-23 18:27:20 |
| 29429 |           0 | f-upperbody-faiss.serving.ai.vip.com                           | 10.208.75.211  |      1 | v22     | 2018-10-23 18:27:20 | 2018-10-23 18:27:20 |
| 29430 |           0 | m-lowerbody-faiss.serving.ai.vip.com                           | 10.208.75.211  |      1 | v22     | 2018-10-23 18:27:20 | 2018-10-23 18:27:20 |
| 29431 |           0 | f-lowerbody-faiss.serving.ai.vip.com                           | 10.208.75.211  |      1 | v22     | 2018-10-23 18:27:20 | 2018-10-23 18:27:20 |
| 29432 |           0 | c-finance-ebs-dev-sink-hive-job-22370-4.spark.ns.ai.vip.com    | 10.219.237.100 |      0 | v22     | 2018-10-23 18:27:20 | 2018-10-23 18:37:56 |
| 29433 |           0 | c-finance-ebs-dev-sink-hive-job-22370-4.spark.ns.ai.vip.com    | 10.219.237.101 |      0 | v22     | 2018-10-23 18:27:20 | 2018-10-23 18:37:56 |
| 29434 |           0 | job-finance-ebs-dev-sink-hive-job-22370.spark.ns.ai.vip.com    | 10.219.237.100 |      1 | v22     | 2018-10-23 18:27:20 | 2018-10-23 18:27:20 |
| 29435 |           0 | job-finance-ebs-dev-sink-hive-job-22370.spark.ns.ai.vip.com    | 10.219.237.101 |      1 | v22     | 2018-10-23 18:27:20 | 2018-10-23 18:27:20 |
| 29436 |           0 | c-finance-ebs-dev-ppso-prehandle-22399-62.spark.ns.ai.vip.com  | 10.219.237.100 |      0 | v22     | 2018-10-23 18:27:21 | 2018-10-23 20:49:15 |
| 29437 |           0 | c-finance-ebs-dev-ppso-prehandle-22399-62.spark.ns.ai.vip.com  | 10.219.237.101 |      0 | v22     | 2018-10-23 18:27:21 | 2018-10-23 20:49:15 |
| 29438 |           0 | job-finance-ebs-dev-ppso-prehandle-22399.spark.ns.ai.vip.com   | 10.219.237.100 |      1 | v22     | 2018-10-23 18:27:21 | 2018-10-23 18:27:21 |
| 29439 |           0 | job-finance-ebs-dev-ppso-prehandle-22399.spark.ns.ai.vip.com   | 10.219.237.101 |      1 | v22     | 2018-10-23 18:27:21 | 2018-10-23 18:27:21 |
| 29440 |           0 | c-finance-ebs-dev-otb-detail-22402-73.spark.ns.ai.vip.com      | 10.219.237.100 |      0 | v22     | 2018-10-23 18:27:21 | 2018-10-23 20:51:33 |
| 29441 |           0 | c-finance-ebs-dev-otb-detail-22402-73.spark.ns.ai.vip.com      | 10.219.237.101 |      0 | v22     | 2018-10-23 18:27:21 | 2018-10-23 20:51:33 |
| 29442 |           0 | job-finance-ebs-dev-otb-detail-22402.spark.ns.ai.vip.com       | 10.219.237.100 |      1 | v22     | 2018-10-23 18:27:21 | 2018-10-23 18:27:21 |
| 29443 |           0 | job-finance-ebs-dev-otb-detail-22402.spark.ns.ai.vip.com       | 10.219.237.101 |      1 | v22     | 2018-10-23 18:27:21 | 2018-10-23 18:27:21 |
| 29444 |           0 | c-finance-ebs-dev-otb-prehandle-22632-15.spark.ns.ai.vip.com   | 10.219.237.100 |      0 | v22     | 2018-10-23 18:27:21 | 2018-10-23 20:49:39 |
| 29445 |           0 | c-finance-ebs-dev-otb-prehandle-22632-15.spark.ns.ai.vip.com   | 10.219.237.101 |      0 | v22     | 2018-10-23 18:27:21 | 2018-10-23 20:49:39 |
| 29446 |           0 | job-finance-ebs-dev-otb-prehandle-22632.spark.ns.ai.vip.com    | 10.219.237.100 |      1 | v22     | 2018-10-23 18:27:21 | 2018-10-23 18:27:21 |
| 29447 |           0 | job-finance-ebs-dev-otb-prehandle-22632.spark.ns.ai.vip.com    | 10.219.237.101 |      1 | v22     | 2018-10-23 18:27:21 | 2018-10-23 18:27:21 |
| 29448 |           0 | c-finance-ebs-dev-otb-poreceipt-22647-1.spark.ns.ai.vip.com    | 10.219.237.100 |      0 | v22     | 2018-10-23 18:27:21 | 2018-10-23 20:51:25 |
| 29449 |           0 | c-finance-ebs-dev-otb-poreceipt-22647-1.spark.ns.ai.vip.com    | 10.219.237.101 |      0 | v22     | 2018-10-23 18:27:21 | 2018-10-23 20:51:25 |
| 29450 |           0 | job-finance-ebs-dev-otb-poreceipt-22647.spark.ns.ai.vip.com    | 10.219.237.100 |      1 | v22     | 2018-10-23 18:27:21 | 2018-10-23 18:27:21 |
| 29451 |           0 | job-finance-ebs-dev-otb-poreceipt-22647.spark.ns.ai.vip.com    | 10.219.237.101 |      1 | v22     | 2018-10-23 18:27:21 | 2018-10-23 18:27:21 |
| 29452 |           0 | c-finance-ebs-dev-ppso-detail-22648-50.spark.ns.ai.vip.com     | 10.219.237.100 |      0 | v22     | 2018-10-23 18:27:21 | 2018-10-23 20:51:21 |
| 29453 |           0 | c-finance-ebs-dev-ppso-detail-22648-50.spark.ns.ai.vip.com     | 10.219.237.101 |      0 | v22     | 2018-10-23 18:27:21 | 2018-10-23 20:51:21 |
| 29454 |           0 | job-finance-ebs-dev-ppso-detail-22648.spark.ns.ai.vip.com      | 10.219.237.100 |      1 | v22     | 2018-10-23 18:27:22 | 2018-10-23 18:27:22 |
| 29455 |           0 | job-finance-ebs-dev-ppso-detail-22648.spark.ns.ai.vip.com      | 10.219.237.101 |      1 | v22     | 2018-10-23 18:27:22 | 2018-10-23 18:27:22 |
| 29456 |           0 | c-finance-ebs-dev-otb-discount-22723-24.spark.ns.ai.vip.com    | 10.219.237.100 |      0 | v22     | 2018-10-23 18:27:22 | 2018-10-23 20:51:42 |
| 29457 |           0 | c-finance-ebs-dev-otb-discount-22723-24.spark.ns.ai.vip.com    | 10.219.237.101 |      0 | v22     | 2018-10-23 18:27:22 | 2018-10-23 20:51:42 |
| 29458 |           0 | job-finance-ebs-dev-otb-discount-22723.spark.ns.ai.vip.com     | 10.219.237.100 |      1 | v22     | 2018-10-23 18:27:22 | 2018-10-23 18:27:22 |
| 29459 |           0 | job-finance-ebs-dev-otb-discount-22723.spark.ns.ai.vip.com     | 10.219.237.101 |      1 | v22     | 2018-10-23 18:27:22 | 2018-10-23 18:27:22 |
| 29460 |           0 | c-finance-ebs-dev-ppso-discount-22725-97.spark.ns.ai.vip.com   | 10.219.237.100 |      0 | v22     | 2018-10-23 18:27:22 | 2018-10-23 20:51:51 |
| 29461 |           0 | c-finance-ebs-dev-ppso-discount-22725-97.spark.ns.ai.vip.com   | 10.219.237.101 |      0 | v22     | 2018-10-23 18:27:22 | 2018-10-23 20:51:51 |
| 29462 |           0 | job-finance-ebs-dev-ppso-discount-22725.spark.ns.ai.vip.com    | 10.219.237.100 |      1 | v22     | 2018-10-23 18:27:22 | 2018-10-23 18:27:22 |
| 29463 |           0 | job-finance-ebs-dev-ppso-discount-22725.spark.ns.ai.vip.com    | 10.219.237.101 |      1 | v22     | 2018-10-23 18:27:22 | 2018-10-23 18:27:22 |
| 29464 |           0 | lesly-lai-otb-project.notebook.ns.ai.vip.com                   | 10.219.237.100 |      0 | v22     | 2018-10-23 18:27:22 | 2018-10-26 14:31:55 |
| 29465 |           0 | lesly-lai-otb-project.notebook.ns.ai.vip.com                   | 10.219.237.101 |      0 | v22     | 2018-10-23 18:27:22 | 2018-10-26 14:31:55 |
| 29466 |           0 | ian-ding-notebook.notebook.ai.vip.com                          | 10.208.75.211  |      0 | v22     | 2018-10-23 18:27:22 | 2018-10-23 19:58:24 |
| 29467 |           0 | c-finance-ebs-dev-vulcan-opr-22807-37.spark.ns.ai.vip.com      | 10.219.237.100 |      0 | v22     | 2018-10-23 18:27:22 | 2018-10-23 20:06:27 |
| 29468 |           0 | c-finance-ebs-dev-vulcan-opr-22807-37.spark.ns.ai.vip.com      | 10.219.237.101 |      0 | v22     | 2018-10-23 18:27:22 | 2018-10-23 20:06:27 |
| 29469 |           0 | job-finance-ebs-dev-vulcan-opr-22807.spark.ns.ai.vip.com       | 10.219.237.100 |      1 | v22     | 2018-10-23 18:27:22 | 2018-10-23 18:27:22 |
